time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-02-07 10:12:36.695 UTC, ,125,3192949,3248,47096, , ,6, ,36,3,0.08, , , , , , , ,6,6, , , ,3,3,7, ,33,15, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454839956366,3145728, , , ,21, , , ,1, , , ,3, , , , ,21,1, , , , , ,1,55743,23, , , , , , , , , , ,36374200,2, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:22:31.964 UTC, ,125,3168189,2552,22336, , ,3,1,35,3,0.09, , , , , , , ,3,3, ,2,1,2,1,4, ,24,11, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840551726,3145728, , , ,20, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,348160,58, , , , , , , , ,3,19,28321200,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:25:38.950 UTC, ,125,3168189,2552,22336, , ,3,1,35,3,0.09, , , , , , , ,3,3, ,2,1,2,1,4, ,24,11, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840738720,3145728, , , ,20, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,348160,58, , , , , , , , ,3,21,28252880,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:26:31.334 UTC, ,125,3168189,2552,22336, , ,3,1,35,3,0.09, , , , , , , ,3,3, ,2,1,2,1,4, ,24,11, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840791065,3145728, , , ,20, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,348160,58, , , , , , , , ,3,22,28342400,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:26:31.454 UTC, ,125,3192949,3248,47096, , ,6, ,36,3,0.08, , , , , , , ,6,6, , , ,3,3,7, ,33,15, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840791065,3145728, , , ,21, , , ,1, , , ,3, , , , ,21,1, , , , , ,1,55743,23, , , , , , , , , , ,36376880,2, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:27:07.636 UTC, ,125,3168189,2552,22336, , ,3,1,35,3,0.09, , , , , , , ,3,3, ,2,1,2,1,4, ,24,11, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840827402,3145728, , , ,20, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,348160,58, , , , , , , , ,3,22,28314600,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:28:26.865 UTC, ,125,3168189,2552,22336, , ,3,1,35,3,0.09, , , , , , , ,3,3, ,2,1,2,1,4, ,24,11, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840906612,3145728, , , ,20, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,348160,58, , , , , , , , ,3,22,28291736,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:28:26.995 UTC, ,125,3189973,3248,44120, , ,5, ,34,2,0.06, , , , , , , ,5,5, , , ,3,2,6, ,33,15, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840906612,3145728, , , ,19, , , ,1, , , ,3, , , , ,19,1, , , , , ,1,51647,21, , , , , , , , , , ,36321104,2, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:29:44.406 UTC, ,125,3168189,2552,22336, , ,3,1,35,3,0.09, , , , , , , ,3,3, ,2,1,2,1,4, ,24,11, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840984144,3145728, , , ,20, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,348160,58, , , , , , , , ,3,24,28262888,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 10:29:44.540 UTC, ,125,3192949,3248,47096, , ,6, ,35,3,0.09, , , , , , , ,6,6, , , ,3,3,7, ,33,15, , , , , , , , , , , , , ,251364,9, ,248254, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454840984144,3145728, , , ,21, , , ,1, , , ,3, , , , ,21,1, , , , , ,1,55743,23, , , , , , , , , , ,36313648,2, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
